tweet_id,timestamp,name,rating_numerator,rating_denominator,expanded_urls,dog_stage,retweet_count,favorite_count,jpg_url,p1,p1_conf
886983233522544640,2017-07-17 16:17:36,Maya,13,10,"https://twitter.com/dog_rates/status/886983233522544640/photo/1,https://twitter.com/dog_rates/status/886983233522544640/photo/1",,6578.0,31263.0,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,Chihuahua,0.793469
886736880519319552,2017-07-16 23:58:41,Mingus,13,10,"https://www.gofundme.com/mingusneedsus,https://twitter.com/dog_rates/status/886736880519319552/photo/1,https://twitter.com/dog_rates/status/886736880519319552/photo/1",,2734.0,10766.0,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,kuvasz,0.309706
886366144734445568,2017-07-15 23:25:31,Roscoe,12,10,"https://twitter.com/dog_rates/status/886366144734445568/photo/1,https://twitter.com/dog_rates/status/886366144734445568/photo/1",pupper,2721.0,19049.0,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,French_bulldog,0.999201
886258384151887873,2017-07-15 16:17:19,Waffles,13,10,https://twitter.com/dog_rates/status/886258384151887873/photo/1,,5454.0,25222.0,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,pug,0.943575
885984800019947520,2017-07-14 22:10:11,Jimbo,12,10,https://twitter.com/dog_rates/status/885984800019947520/photo/1,,5794.0,29370.0,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,Blenheim_spaniel,0.972494
885528943205470208,2017-07-13 15:58:47,Maisey,13,10,https://twitter.com/dog_rates/status/885528943205470208/photo/1,,5521.0,32428.0,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,pug,0.369275
885311592912609280,2017-07-13 01:35:06,Lilly,13,10,"https://twitter.com/dog_rates/status/830583320585068544/photo/1,https://twitter.com/dog_rates/status/830583320585068544/photo/1,https://twitter.com/dog_rates/status/830583320585068544/photo/1,https://twitter.com/dog_rates/status/830583320585068544/photo/1",,15931.0,0.0,https://pbs.twimg.com/media/C4bTH6nWMAAX_bJ.jpg,Labrador_retriever,0.908703
885167619883638784,2017-07-12 16:03:00,None,13,10,"https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1",,3773.0,19708.0,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,malamute,0.8124819999999999
884925521741709313,2017-07-12 00:01:00,Earl,12,10,https://twitter.com/dog_rates/status/884925521741709313/photo/1,,15544.0,69234.0,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,Italian_greyhound,0.259916
884876753390489601,2017-07-11 20:47:12,Lola,13,10,"https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1",,4816.0,25057.0,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,chow,0.822103
884562892145688576,2017-07-11 00:00:02,Kevin,13,10,https://twitter.com/dog_rates/status/884562892145688576/photo/1,,4044.0,21901.0,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,pug,0.5464060000000001
884441805382717440,2017-07-10 15:58:53,None,14,10,https://twitter.com/dog_rates/status/884441805382717440/photo/1,,4930.0,24489.0,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,Pembroke,0.993225
884162670584377345,2017-07-09 21:29:42,Yogi,12,10,https://twitter.com/dog_rates/status/884162670584377345/photo/1,doggo,2580.0,18409.0,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,German_shepherd,0.707046
883838122936631299,2017-07-09 00:00:04,Noah,12,10,https://twitter.com/dog_rates/status/883838122936631299/photo/1,,2957.0,19696.0,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,Doberman,0.610946
883482846933004288,2017-07-08 00:28:19,Bella,5,10,"https://twitter.com/dog_rates/status/883482846933004288/photo/1,https://twitter.com/dog_rates/status/883482846933004288/photo/1",,8544.0,41302.0,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,golden_retriever,0.943082
883360690899218434,2017-07-07 16:22:55,Grizzwald,13,10,https://twitter.com/dog_rates/status/883360690899218434/photo/1,floofer,3179.0,20454.0,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,chow,0.987997
883117836046086144,2017-07-07 00:17:54,None,13,10,"https://twitter.com/dog_rates/status/883117836046086144/photo/1,https://twitter.com/dog_rates/status/883117836046086144/photo/1",,5717.0,33425.0,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,golden_retriever,0.949562
882992080364220416,2017-07-06 15:58:11,Rusty,13,10,"https://twitter.com/dog_rates/status/882992080364220416/photo/1,https://twitter.com/dog_rates/status/882992080364220416/photo/1",,3337.0,21541.0,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,Eskimo_dog,0.466778
882762694511734784,2017-07-06 00:46:41,Gus,12,10,https://twitter.com/dog_rates/status/882762694511734784/photo/1,pupper,4226.0,25457.0,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,Labrador_retriever,0.85005
882627270321602560,2017-07-05 15:48:34,Stanley,13,10,https://twitter.com/dog_rates/status/882627270321602560/photo/1,,5234.0,25265.0,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,Pembroke,0.542982
882268110199369728,2017-07-04 16:01:23,Alfy,13,10,"https://twitter.com/dog_rates/status/882268110199369728/photo/1,https://twitter.com/dog_rates/status/882268110199369728/photo/1,https://twitter.com/dog_rates/status/882268110199369728/photo/1",,9997.0,40317.0,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,golden_retriever,0.762211
881906580714921986,2017-07-03 16:04:48,Rey,12,10,https://twitter.com/dog_rates/status/881906580714921986/photo/1,,2938.0,21996.0,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,Weimaraner,0.291539
881666595344535552,2017-07-03 00:11:11,Gary,13,10,https://twitter.com/dog_rates/status/881666595344535552/photo/1,,9237.0,45739.0,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,Saluki,0.529012
881536004380872706,2017-07-02 15:32:16,a,14,10,https://twitter.com/dog_rates/status/881536004380872706/video/1,pupper,13831.0,44633.0,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,Samoyed,0.281463
880872448815771648,2017-06-30 19:35:32,None,12,10,https://twitter.com/dog_rates/status/880872448815771648/photo/1,,3303.0,19215.0,https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,Pembroke,0.791416
880465832366813184,2017-06-29 16:39:47,Bella,12,10,"https://twitter.com/dog_rates/status/880465832366813184/photo/1,https://twitter.com/dog_rates/status/880465832366813184/photo/1,https://twitter.com/dog_rates/status/880465832366813184/photo/1,https://twitter.com/dog_rates/status/880465832366813184/photo/1",,5378.0,25659.0,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,golden_retriever,0.913255
880221127280381952,2017-06-29 00:27:25,Jesse,12,10,"https://twitter.com/dog_rates/status/880221127280381952/photo/1,https://twitter.com/dog_rates/status/880221127280381952/photo/1",,3591.0,24326.0,https://pbs.twimg.com/media/DDcscbXU0AIfDzs.jpg,Chihuahua,0.238525
880095782870896641,2017-06-28 16:09:20,None,11,10,https://twitter.com/dog_rates/status/880095782870896641/photo/1,,3760.0,24943.0,https://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg,miniature_pinscher,0.120298
879862464715927552,2017-06-28 00:42:13,Romeo,13,10,"https://twitter.com/dog_rates/status/879862464715927552/photo/1,https://twitter.com/dog_rates/status/879862464715927552/photo/1,https://twitter.com/dog_rates/status/879862464715927552/photo/1",,3018.0,20235.0,https://pbs.twimg.com/media/DDXmPrbWAAEKMvy.jpg,basset,0.813507
879492040517615616,2017-06-27 00:10:17,Bailey,12,10,https://twitter.com/dog_rates/status/879492040517615616/photo/1,,2734.0,21247.0,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,German_short-haired_pointer,0.479896
879415818425184262,2017-06-26 19:07:24,Duddles,13,10,https://twitter.com/dog_rates/status/879415818425184262/video/1,,38622.0,95401.0,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,English_springer,0.383404
879008229531029506,2017-06-25 16:07:47,Beau,13,10,https://twitter.com/dog_rates/status/879008229531029506/photo/1,,2323.0,17202.0,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,vizsla,0.960513
878776093423087618,2017-06-25 00:45:22,Snoopy,13,10,"https://twitter.com/dog_rates/status/878776093423087618/photo/1,https://twitter.com/dog_rates/status/878776093423087618/photo/1",puppo,3558.0,17555.0,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,Italian_greyhound,0.734684
878281511006478336,2017-06-23 16:00:04,Shadow,13,10,"https://www.gofundme.com/3yd6y1c,https://twitter.com/dog_rates/status/878281511006478336/photo/1",,1108.0,6985.0,https://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg,basset,0.32042
878057613040115712,2017-06-23 01:10:23,Emmy,14,10,"https://twitter.com/dog_rates/status/878057613040115712/photo/1,https://twitter.com/dog_rates/status/878057613040115712/photo/1",,5916.0,38074.0,https://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,French_bulldog,0.839097
